pass,N,L_us,W,iters_per_ns,ticks,overruns,overrun_pct,drain_p50,drain_p90,drain_p99,tick_p50,tick_p90,tick_p99,flush_p50,flush_p90,flush_p99,wakes_p50,wakes_p90,wakes_p99,closes,achieved,lat_p50,lat_p90,lat_p99,lag_p99,server_cpu,verdict
2,1000,30,512,0.56,633,23,3.63,0.812,0.981,5.971,29.642,32.056,52.601,2.067,2.261,22.533,17,42,607,0,300079,20.580,84.553,133.736,0.763,99,OK
2,1000,30,4096,0.57,613,38,6.20,0.942,1.150,7.153,30.256,31.375,53.434,1.817,2.198,22.472,4,5,648,0,300189,25.699,52.073,80.328,2.337,102,OK
2,3000,0,512,0.57,665,0,0.00,2.552,2.978,10.965,0.073,0.088,0.223,30.001,30.232,30.334,647,707,733,0,900555,0.058,0.128,19.887,2.539,102,OK
2,3000,0,4096,0.57,662,0,0.00,3.198,3.475,4.087,0.586,0.706,0.959,28.838,29.072,29.177,601,651,670,0,900517,0.060,0.104,0.585,0.012,102,OK
2,3000,30,512,0.57,205,169,82.44,6.922,8.055,9.372,91.019,92.551,95.749,24.277,24.923,25.126,333,400,417,0,899430,41.203,84.610,91.530,0.012,102,OK
2,3000,30,4096,0.57,204,168,82.35,8.079,9.195,10.430,91.532,93.098,95.173,22.947,23.776,23.989,292,360,373,0,900107,42.352,85.428,92.109,0.010,102,OK
2,10000,0,512,0.55,667,0,0.00,9.500,10.160,11.197,0.266,0.306,0.489,20.923,21.437,21.790,34,38,39,0,3000706,19.776,34.956,43.135,0.023,103,OK
2,10000,0,4096,0.56,667,0,0.00,10.728,11.273,12.267,2.061,2.424,2.848,18.117,18.690,19.088,29,31,33,0,3000112,22.962,40.965,48.710,0.031,102,OK
2,10000,30,512,0.57,174,108,62.07,2.540,43.123,65.127,35.436,301.333,318.255,3.228,12.980,22.524,1,139,187,8820,896341,999.999+,999.999+,999.999+,,99,VOID
2,10000,30,4096,0.57,202,72,35.64,0.486,42.877,56.227,31.422,298.609,307.992,0.760,12.204,18.502,1,2,12,8980,910320,999.999+,999.999+,999.999+,,103,VOID
